Date,Startup Name,SubVertical,City,Amount,is_funded,Year,Month,Industry Vertical Cleaned,InvestmentType_Cleaned,Investors_Cleaned
2020-01-09,BYJU’S,E-learning,bengaluru,200000000.0,1,2020,1,technology,Private Equity,Tiger Global Management
2020-01-13,Shuttl,App based shuttle service,gurgaon,8048394.0,1,2020,1,logistics,Series C,Susquehanna Growth Equity
2020-01-09,Mamaearth,Retailer of baby and toddler products,bengaluru,18358860.0,1,2020,1,e-commerce,Series B,Sequoia Capital India
2020-01-02,https://www.wealthbucket.in/,Online Investment,delhi,3000000.0,1,2020,1,finance,Pre-Series A,Vinod Khatumal
2020-01-02,Fashor,Embroiled Clothes For Women,mumbai,1800000.0,1,2020,1,others,Seed,Sprout Venture Partners
2020-01-13,Pando,"Open-market, freight management platform",chennai,9000000.0,1,2020,1,logistics,Series A,Chiratae Ventures
2020-01-10,Zomato,Online Food Delivery Platform,gurgaon,150000000.0,1,2020,1,others,Private Equity,Ant Financial
2019-12-12,Ecozen,Agritech,pune,6000000.0,1,2019,12,technology,Series A,Sathguru Catalyzer Advisors
2019-12-06,CarDekho,Automobile,gurgaon,70000000.0,1,2019,12,e-commerce,Series D+,Ping An Global Voyager Fund
2019-12-03,Dhruva Space,Satellite Communication,bengaluru,50000000.0,1,2019,12,others,Seed,"Mumbai Angels, Ravikanth Reddy"
2019-12-13,Rivigo,Logistics Services and Solutions,gurgaon,20000000.0,1,2019,12,technology,Series D+,"Saif Partners, Spring Canter Investment Ltd."
2019-12-17,Healthians,Food Solutions For Corporate,bengaluru,12000000.0,1,2019,12,food & beverage,Series C,"Paytm, Nptk, Sabre Partners And Neoplux"
2019-12-16,Licious,Online Meat And Seafood Ordering Startup,bengaluru,30000000.0,1,2019,12,e-commerce,Series D+,Vertex Growth Fund
2019-12-16,InCred,Non-Banking Financial Company,mumbai,5900000.0,1,2019,12,finance,Debt,Undisclosed
2019-12-14,Trell,Experience Discovery Platform,bengaluru,2000000.0,1,2019,12,others,Seed,Ruizheng Investment
2019-12-11,Rein Games,Real money based gaming startup,noida,50000000.0,1,2019,12,others,Seed,Manipal Education And Medical Group (Memg)
2019-12-20,Lenskart.com,Online Eyewear Shopping Portal,faridabad,231000000.0,1,2019,12,e-commerce,Series D+,Softbank Vision Fund
2019-11-13,Freshworks,Business and customer engagement tools,san francisco,150000000.0,1,2019,11,technology,Series D+,"Sequoia, Capitalg, Accel"
2019-11-14,Misters,Men's Health and Wellness brand,gurgaon,486000.0,1,2019,11,healthcare,Series B,"Sauce.Vc, Rainforest Ventures"
2019-11-13,Sunstone Eduversity Pvt. Ltd,Elearning,gurgaon,1500000.0,1,2019,11,education,Seed,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg"
2019-11-17,Burger Singh,Indian Burger Brand,gurgaon,,0,2019,11,food & beverage,Venture,Rb Investments
2019-11-18,Healthians,Healthcare services,gurgaon,12000000.0,1,2019,11,healthcare,Series B,"Dg Daiwa Ventures, Dg Incubation"
2019-11-15,Ninjacart,Agritech,bengaluru,26000000.0,1,2019,11,others,Debt,Trifecta Capital Advisors
